Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,
2017126,10:45:8,50,20.25,,2017126,10:45:11,50,-127,,
2017126,10:45:16,50,20.25,,2017126,10:45:19,50,-127,,
2017126,10:45:24,50,20.25,,2017126,10:45:27,50,-127,,
2017126,10:45:32,50,20.25,,2017126,10:45:35,50,-127,,
2017126,10:45:40,50,20.25,,2017126,10:45:44,50,-127,,
2017126,10:45:49,50,20.25,,2017126,10:45:52,50,-127,,
2017126,10:45:57,50,20.25,,2017126,10:46:0,50,-127,,
2017126,10:46:5,50,20.25,,2017126,10:46:8,50,-127,,
2017126,10:46:13,50,20.25,,2017126,10:46:16,50,-127,,
2017126,10:46:21,50,20.25,,2017126,10:46:24,50,-127,,
2017126,10:46:29,50,20.25,,2017126,10:46:32,50,-127,,
2017126,10:46:37,50,20.25,,2017126,10:46:40,50,-127,,
2017126,10:46:45,50,20.25,,2017126,10:46:48,50,-127,,
2017126,10:46:53,50,20.25,,2017126,10:46:56,50,-127,,
2017126,10:47:1,50,20.25,,2017126,10:47:4,50,-127,,
2017126,10:47:10,50,20.3125,,2017126,10:47:13,50,-127,,
2017126,10:47:18,50,20.25,,2017126,10:47:21,50,-127,,
2017126,10:47:26,50,20.25,,2017126,10:47:31,50,-127,,
2017126,10:47:34,50,20.25,,2017126,10:47:39,50,-127,,
2017126,10:47:42,50,20.3125,,2017126,10:47:47,50,-127,,
2017126,10:47:50,50,20.25,,2017126,10:47:55,50,-127,,
2017126,10:47:58,50,20.25,,2017126,10:48:3,50,-127,,
2017126,10:48:6,50,20.3125,,2017126,10:48:11,50,-127,,
2017126,10:48:14,50,20.3125,,2017126,10:48:19,50,-127,,
2017126,10:48:24,50,20.3125,,2017126,10:48:27,50,-127,,
2017126,10:48:32,50,20.3125,,2017126,10:48:35,50,-127,,
2017126,10:48:40,50,20.3125,,2017126,10:48:43,50,-127,,
2017126,10:48:48,50,20.3125,,2017126,10:48:51,50,-127,,
2017126,10:48:56,50,20.3125,,2017126,10:48:59,50,-127,,
2017126,10:49:4,50,20.3125,,2017126,10:49:7,50,-127,,
2017126,10:49:12,50,20.3125,,2017126,10:49:15,50,-127,,
2017126,10:49:19,50,20.3125,,2017126,10:49:22,50,-127,,
2017126,10:49:27,50,20.3125,,2017126,10:49:30,50,-127,,
2017126,10:49:35,50,20.3125,,2017126,10:49:38,50,-127,,
2017126,10:49:45,50,-1,,2017126,10:49:50,50,-127,,
2017126,10:49:55,50,20.3125,,2017126,10:49:58,50,-127,,
2017126,10:50:3,50,20.3125,,2017126,10:50:6,50,-127,,
2017126,10:50:11,50,20.25,,2017126,10:50:14,50,-127,,
2017126,10:50:19,50,20.3125,,2017126,10:50:22,50,-127,,
2017126,10:50:27,50,20.3125,,2017126,10:50:30,50,-127,,
2017126,10:50:35,50,20.25,,2017126,10:50:38,50,-127,,
2017126,10:50:43,50,20.25,,2017126,10:50:46,50,-127,,
2017126,10:50:51,50,20.25,,2017126,10:50:54,50,-127,,
2017126,10:50:59,50,20.25,,2017126,10:51:2,50,-127,,
2017126,10:51:7,50,20.25,,2017126,10:51:10,50,-127,,
2017126,10:51:15,50,20.25,,2017126,10:51:18,50,-127,,
2017126,10:51:23,50,20.25,,2017126,10:51:26,50,-127,,
2017126,10:51:31,50,20.25,,2017126,10:51:34,50,-127,,
2017126,10:51:39,50,20.25,,2017126,10:51:42,50,-127,,
2017126,10:51:47,50,20.25,,2017126,10:51:50,50,-127,,
2017126,10:51:55,50,20.25,,2017126,10:52:0,50,-127,,
2017126,10:52:3,50,20.25,,2017126,10:52:8,50,-127,,
2017126,10:52:11,50,20.25,,2017126,10:52:16,50,-127,,
2017126,10:52:23,50,-1,,2017126,10:52:30,50,-1,,
2017126,10:52:34,50,20.25,,2017126,10:52:37,50,-127,,
2017126,10:52:42,50,20.25,,2017126,10:52:45,50,-127,,
2017126,10:52:50,50,20.25,,2017126,10:52:53,50,-127,,
2017126,10:52:58,50,20.25,,2017126,10:53:1,50,-127,,
2017126,10:53:6,50,20.25,,2017126,10:53:9,50,-127,,
2017126,10:53:14,50,20.25,,2017126,10:53:17,50,-127,,
2017126,10:53:22,50,20.25,,2017126,10:53:25,50,-127,,
2017126,10:53:30,50,20.25,,2017126,10:53:33,50,-127,,
2017126,10:53:40,50,-1,,2017126,10:53:45,50,-127,,
2017126,10:53:50,50,20.25,,2017126,10:53:53,50,-127,,
2017126,10:53:58,50,20.25,,2017126,10:54:1,50,-127,,
2017126,10:54:6,50,20.25,,2017126,10:54:9,50,-127,,
2017126,10:54:14,50,20.25,,2017126,10:54:17,50,-127,,
