Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017215,14:55:6,40,23.3125,,2017215,14:55:14,50,30.5,,2017215,14:55:24,60,-1,,
2017215,14:55:29,40,23.3125,,2017215,14:55:34,50,30.5,,2017215,14:55:44,60,-1,,
2017215,14:55:49,40,23.3125,,2017215,14:55:54,50,30.25,,2017215,14:56:4,60,-1,,
2017215,14:56:9,40,23.3125,,2017215,14:56:14,50,29.25,,2017215,14:56:24,60,-1,,
2017215,14:56:29,40,23.3125,,2017215,14:56:34,50,30.25,,2017215,14:56:44,60,-1,,
2017215,14:56:49,40,23.3125,,2017215,14:56:54,50,29.75,,2017215,14:57:5,60,-1,,
2017215,14:57:10,40,23.3125,,2017215,14:57:15,50,28.75,,2017215,14:57:25,60,-1,,
2017215,14:57:30,40,23.3125,,2017215,14:57:35,50,29.25,,2017215,14:57:45,60,-1,,
2017215,14:57:50,40,23.3125,,2017215,14:57:58,50,30.5,,2017215,14:58:8,60,-1,,
2017215,14:58:16,40,23.375,,2017215,14:58:24,50,29.75,,2017215,14:58:34,60,-1,,
2017215,14:58:39,40,23.3125,,2017215,14:58:44,50,30.25,,2017215,14:58:55,60,-1,,
2017215,14:59:0,40,23.3125,,2017215,14:59:5,50,30.25,,2017215,14:59:15,60,-1,,
2017215,14:59:20,40,23.3125,,2017215,14:59:25,50,30.5,,2017215,14:59:35,60,-1,,
2017215,14:59:40,40,23.3125,,2017215,14:59:45,50,30.5,,2017215,14:59:55,60,-1,,
2017215,15:0:0,40,23.3125,,2017215,15:0:5,50,30.25,,2017215,15:0:15,60,-1,,
2017215,15:0:20,40,23.3125,,2017215,15:0:25,50,30,,2017215,15:0:35,60,-1,,
2017215,15:0:40,40,23.3125,,2017215,15:0:45,50,30,,2017215,15:0:55,60,-1,,
2017215,15:1:0,40,23.3125,,2017215,15:1:6,50,30.25,,2017215,15:1:16,60,-1,,
2017215,15:1:21,40,23.375,,2017215,15:1:26,50,30.25,,2017215,15:1:36,60,-1,,
2017215,15:1:44,40,23.3125,,2017215,15:1:49,50,30.25,,2017215,15:1:59,60,-1,,
2017215,15:2:4,40,23.3125,,2017215,15:2:9,50,30.25,,2017215,15:2:19,60,-1,,
2017215,15:2:24,40,23.3125,,2017215,15:2:29,50,30.25,,2017215,15:2:39,60,-1,,
2017215,15:2:44,40,23.3125,,2017215,15:2:49,50,30,,2017215,15:2:59,60,-1,,
2017215,15:3:5,40,23.3125,,2017215,15:3:10,50,30,,2017215,15:3:20,60,-1,,
2017215,15:3:25,40,23.3125,,2017215,15:3:30,50,30,,2017215,15:3:40,60,-1,,
2017215,15:3:45,40,23.3125,,2017215,15:3:50,50,30,,2017215,15:4:0,60,-1,,
