Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,
2017116,0:28:57,40,22.8125,,2017116,0:29:12,40,-1,,
2017116,0:29:17,40,22.8125,,2017116,0:29:32,40,-1,,
2017116,0:29:38,40,21.3125,,2017116,0:29:53,40,-1,,
2017116,0:29:58,40,20.9375,,2017116,0:30:13,40,-1,,2017116,0:30:18,10,20.9375,,2017116,0:30:33,10,-1,,
2017116,0:30:38,10,20.9375,,2017116,0:30:53,10,-1,,
2017116,0:30:58,10,20.9375,,2017116,0:31:13,10,-1,,
2017116,0:31:18,10,21.5625,,2017116,0:31:33,10,-1,,
2017116,0:31:38,10,23.875,,2017116,0:31:53,10,-1,,
2017116,0:31:58,10,25.5625,,2017116,0:32:13,10,-1,,
2017116,0:32:18,10,26.1875,,2017116,0:32:33,10,-1,,
2017116,0:32:38,10,26.4375,,2017116,0:32:53,10,-1,,
2017116,0:32:58,10,26.5,,2017116,0:33:13,10,-1,,2017116,0:33:18,45,26.5625,,2017116,0:33:34,45,-1,,
2017116,0:33:39,45,26.5,,2017116,0:33:53,45,-1,,
2017116,0:33:58,45,26.5625,,2017116,0:34:13,45,-1,,
2017116,0:34:18,45,32.8125,,2017116,0:34:24,45,0,,
2017116,0:34:29,45,36.875,,2017116,0:34:44,45,-1,,
2017116,0:34:49,45,44.75,,2017116,0:35:5,45,-1,,
2017116,0:35:10,45,47.125,,2017116,0:35:25,45,-1,,
2017116,0:35:30,45,48,,2017116,0:35:45,45,-1,,
2017116,0:35:50,45,49.5,,2017116,0:36:5,45,-1,,
2017116,0:36:10,45,51.75,,2017116,0:36:25,45,-1,,
2017116,0:36:30,45,52.5625,,2017116,0:36:45,45,-1,,
2017116,0:36:50,45,54.125,,2017116,0:37:5,45,-1,,
2017116,0:37:10,45,56.4375,,2017116,0:37:25,45,-1,,
2017116,0:37:30,45,57.0625,,2017116,0:37:45,45,-1,,
2017116,0:37:50,45,58.6875,,2017116,0:38:5,45,-1,,
2017116,0:38:10,45,59.4375,,2017116,0:38:25,45,-1,,
2017116,0:38:30,45,59.625,,2017116,0:38:45,45,-1,,
2017116,0:39:1,45,-1,,2017116,0:39:16,45,-1,,
2017116,0:39:21,45,59.5,,2017116,0:39:36,45,-1,,2017116,0:39:51,80,-1,,2017116,0:40:6,80,-1,,
2017116,0:40:11,80,59.125,,2017116,0:40:26,80,-1,,
2017116,0:40:31,80,58.9375,,2017116,0:40:46,80,-1,,
2017116,0:40:51,80,63.4375,,2017116,0:41:6,80,-1,,
2017116,0:41:11,80,70.25,,2017116,0:41:26,80,-1,,
2017116,0:41:31,80,74.75,,2017116,0:41:46,80,-1,,
2017116,0:41:51,80,76.4375,,2017116,0:42:6,80,-1,,
2017116,0:42:21,80,-1,,2017116,0:42:36,80,-1,,
2017116,0:42:41,80,77.8125,,2017116,0:42:57,80,-1,,
2017116,0:43:2,80,78.5625,,2017116,0:43:10,80,0,,
2017116,0:43:15,80,78.8125,,2017116,0:43:30,80,-1,,
2017116,0:43:35,80,79.625,,2017116,0:43:51,80,-1,,
2017116,0:43:56,80,80.3125,,2017116,0:44:11,80,-1,,
2017116,0:44:26,80,-1,,2017116,0:44:41,80,-1,,
2017116,0:44:46,80,82,,2017116,0:45:1,80,-1,,
2017116,0:45:6,80,82.5625,,2017116,0:45:21,80,-1,,
2017116,0:45:26,80,83.125,,2017116,0:45:41,80,-1,,
2017116,0:45:46,80,83.8125,,2017116,0:46:1,80,-1,,2017116,0:46:6,94,84.375,,2017116,0:46:21,94,-1,,
2017116,0:46:26,94,85,,2017116,0:46:41,94,-1,,
2017116,0:46:46,94,85.625,,2017116,0:46:56,94,0,,
2017116,0:47:1,94,86.125,,2017116,0:47:16,94,-1,,2017116,0:47:21,130,86.75,,2017116,0:47:36,130,-1,,
2017116,0:47:41,130,87.5,,2017116,0:47:56,130,-1,,
2017116,0:48:1,130,82.125,,2017116,0:48:16,130,-1,,2017116,0:48:21,5,68.1875,,2017116,0:48:36,5,-1,,
