Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,
2017116,2:5:45,56,41.3125,,2017116,2:6:0,56,-1,,
2017116,2:6:5,56,41.25,,2017116,2:6:20,56,-1,,
2017116,2:6:25,56,41.1875,,2017116,2:6:41,56,-1,,
2017116,2:6:46,56,45.9375,,2017116,2:7:1,56,-1,,
2017116,2:7:6,56,53.5625,,2017116,2:7:21,56,-1,,
2017116,2:7:26,56,57.625,,2017116,2:7:41,56,-1,,
2017116,2:7:46,56,59.875,,2017116,2:8:1,56,-1,,
2017116,2:8:6,56,61.125,,2017116,2:8:21,56,-1,,
2017116,2:8:36,56,-1,,2017116,2:8:51,56,-1,,
2017116,2:8:56,56,63.25,,2017116,2:9:11,56,-1,,
2017116,2:9:16,56,63.375,,2017116,2:9:21,80,63.3125,,2017116,2:9:36,80,-1,,
2017116,2:9:41,80,63.0625,,2017116,2:9:56,80,-1,,
2017116,2:10:1,80,62.875,,2017116,2:10:16,80,-1,,
2017116,2:10:21,80,69.5625,,2017116,2:10:37,80,-1,,
2017116,2:10:42,80,78.0625,,2017116,2:10:54,80,0,,
2017116,2:10:59,80,80.75,,2017116,2:11:14,80,0,,
2017116,2:11:19,80,81.9375,,2017116,2:11:35,80,-1,,
2017116,2:11:40,80,83.125,,2017116,2:11:55,80,-1,,
2017116,2:12:0,80,84,,2017116,2:12:15,80,-1,,
2017116,2:12:20,80,84.375,,2017116,2:12:35,80,-1,,
2017116,2:12:40,80,84.9375,,2017116,2:12:55,80,-1,,
2017116,2:13:0,80,84.875,,2017116,2:13:15,80,0,,
2017116,2:13:20,80,84.75,,2017116,2:13:35,80,-1,,
2017116,2:13:40,80,84.4375,,2017116,2:13:55,80,-1,,
2017116,2:14:0,80,83.9375,,2017116,2:14:15,80,-1,,
2017116,2:14:20,80,83.3125,,2017116,2:14:35,80,-1,,
2017116,2:14:40,80,82.625,,2017116,2:14:55,80,-1,,
2017116,2:15:0,80,82,,2017116,2:15:15,80,-1,,
2017116,2:15:20,80,81.125,,2017116,2:15:35,80,-1,,
2017116,2:15:40,80,80.5,,2017116,2:15:55,80,-1,,
2017116,2:16:0,80,79.875,,2017116,2:16:15,80,-1,,
2017116,2:16:20,80,79.3125,,2017116,2:16:36,80,-1,,
2017116,2:16:41,80,78.625,,2017116,2:16:56,80,-1,,
2017116,2:17:1,80,78.1875,,2017116,2:17:16,80,-1,,
2017116,2:17:21,80,77.6875,,2017116,2:17:36,80,-1,,
2017116,2:17:41,80,77.3125,,2017116,2:17:56,80,-1,,
2017116,2:18:1,80,77.0625,,2017116,2:18:16,80,-1,,
2017116,2:18:21,80,77.0625,,2017116,2:18:36,80,-1,,
2017116,2:18:41,80,77.1875,,2017116,2:18:56,80,-1,,
2017116,2:19:1,80,77.5,,2017116,2:19:16,80,-1,,
2017116,2:19:21,80,77.9375,,2017116,2:19:36,80,-1,,
2017116,2:19:41,80,78.4375,,2017116,2:19:56,80,-1,,
2017116,2:20:1,80,79,,2017116,2:20:16,80,-1,,
2017116,2:20:22,80,0,,2017116,2:20:37,80,-1,,2017116,2:20:42,5,80.25,,2017116,2:20:57,5,-1,,
2017116,2:21:2,5,67.375,,2017116,2:21:17,5,-1,,
2017116,2:21:22,5,49.1875,,2017116,2:21:37,5,-1,,
2017116,2:21:42,5,28.4375,,2017116,2:21:47,65,27.6875,,2017116,2:22:2,65,-1,,
2017116,2:22:7,65,26.6875,,2017116,2:22:22,65,-1,,
2017116,2:22:27,65,27.6875,,2017116,2:22:42,65,-1,,
2017116,2:22:47,65,38.9375,,2017116,2:23:2,65,-1,,
2017116,2:23:7,65,48.5,,2017116,2:23:22,65,-1,,
2017116,2:23:27,65,56.0625,,2017116,2:23:42,65,-1,,
2017116,2:23:47,65,61.375,,2017116,2:24:2,65,-1,,
2017116,2:24:8,65,62.375,,2017116,2:24:23,65,-1,,
2017116,2:24:28,65,64.4375,,2017116,2:24:43,65,-1,,
2017116,2:24:48,65,65.8125,,2017116,2:25:3,65,-1,,
2017116,2:25:8,65,67.6875,,2017116,2:25:23,65,-1,,
2017116,2:25:28,65,69.1875,,2017116,2:25:43,65,-1,,
2017116,2:25:48,65,70.0625,,2017116,2:26:3,65,-1,,
2017116,2:26:8,65,71.5,,2017116,2:26:23,65,-1,,2017116,2:26:28,5,71.75,,2017116,2:26:43,5,-1,,
2017116,2:26:48,5,62.8125,,2017116,2:27:3,5,-1,,
2017116,2:27:8,5,31.625,,2017116,2:27:23,5,-1,,
2017116,2:27:28,5,18.625,,2017116,2:27:33,60,18.125,,2017116,2:27:48,60,-1,,
2017116,2:27:53,60,17.625,,2017116,2:28:9,60,-1,,
2017116,2:28:14,60,17.75,,2017116,2:28:29,60,-1,,
2017116,2:28:34,60,25.5625,,2017116,2:28:49,60,-1,,
2017116,2:28:54,60,35.5,,2017116,2:29:9,60,-1,,
2017116,2:29:14,60,45.375,,2017116,2:29:29,60,-1,,
2017116,2:29:34,60,55.375,,2017116,2:29:49,60,-1,,
2017116,2:29:54,60,61.625,,2017116,2:30:9,60,-1,,
2017116,2:30:14,60,63.3125,,2017116,2:30:29,60,-1,,
2017116,2:30:34,60,63.625,,2017116,2:30:49,60,-1,,
2017116,2:30:54,60,67.375,,2017116,2:31:9,60,-1,,
2017116,2:31:14,60,69.5625,,2017116,2:31:29,60,-1,,
2017116,2:31:34,60,69.9375,,2017116,2:31:45,60,70.0625,,
2017116,2:32:0,60,-1,,2017116,2:32:15,60,-1,,
2017116,2:32:20,60,71.875,,2017116,2:32:35,60,-1,,
2017116,2:32:40,60,72,,2017116,2:32:55,60,-1,,
2017116,2:33:0,60,72,,2017116,2:33:15,60,-1,,
2017116,2:33:20,60,72.125,,2017116,2:33:35,60,-1,,
2017116,2:33:40,60,71.9375,,2017116,2:33:55,60,-1,,
2017116,2:34:0,60,71.75,,2017116,2:34:15,60,-1,,
2017116,2:34:20,60,71.375,,2017116,2:34:35,60,-1,,
2017116,2:34:40,60,71.0625,,2017116,2:34:55,60,-1,,
