Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017217,19:43:0,50,-1,,2017217,19:43:5,50,31.5,,2017217,19:43:16,50,-1,,
2017217,19:43:26,50,-1,,2017217,19:43:31,50,31.5,,2017217,19:43:41,50,-1,,
2017217,19:43:51,50,-1,,2017217,19:43:56,50,31.5,,2017217,19:44:6,50,-1,,
2017217,19:44:16,50,-1,,2017217,19:44:24,50,31.5,,2017217,19:44:34,50,-1,,
2017217,19:44:45,50,-1,,2017217,19:44:50,50,31.5,,2017217,19:45:0,50,-1,,
2017217,19:45:10,50,-1,,2017217,19:45:15,50,31.5,,2017217,19:45:25,50,-1,,
2017217,19:45:35,50,-1,,2017217,19:45:40,50,31.5,,2017217,19:45:50,50,-1,,
2017217,19:46:1,50,-1,,2017217,19:46:6,50,31.5,,2017217,19:46:16,50,-1,,
2017217,19:46:26,50,-1,,2017217,19:46:31,50,31.5,,2017217,19:46:41,50,-1,,
2017217,19:46:51,50,-1,,2017217,19:46:59,50,31.5,,2017217,19:47:9,50,-1,,
2017217,19:47:19,50,-1,,2017217,19:47:24,50,31.5,,2017217,19:47:35,50,-1,,
2017217,19:47:45,50,-1,,2017217,19:47:50,50,31.5,,2017217,19:48:0,50,-1,,
2017217,19:48:10,50,-1,,2017217,19:48:15,50,31.5,,2017217,19:48:25,50,-1,,
2017217,19:48:35,50,-1,,2017217,19:48:40,50,31.5,,2017217,19:48:50,50,-1,,
2017217,19:49:1,50,-1,,2017217,19:49:6,50,31.5,,2017217,19:49:16,50,-1,,
2017217,19:49:26,50,-1,,2017217,19:49:34,50,31.5,,2017217,19:49:44,50,-1,,
2017217,19:49:54,50,-1,,2017217,19:49:59,50,31.5,,2017217,19:50:9,50,-1,,
2017217,19:50:20,50,-1,,2017217,19:50:28,50,31.5,,2017217,19:50:38,50,-1,,
2017217,19:50:48,50,-1,,2017217,19:50:53,50,31.5,,2017217,19:51:3,50,-1,,
2017217,19:51:13,50,-1,,2017217,19:51:18,50,31.5,,2017217,19:51:28,50,-1,,
2017217,19:51:38,50,-1,,2017217,19:51:43,50,31.5,,2017217,19:51:54,50,-1,,
2017217,19:52:4,50,-1,,2017217,19:52:12,50,31.5,,2017217,19:52:22,50,-1,,
2017217,19:52:32,50,-1,,2017217,19:52:37,50,31.5,,2017217,19:52:47,50,-1,,
2017217,19:52:57,50,-1,,2017217,19:53:2,50,31.5,,2017217,19:53:13,50,-1,,
2017217,19:53:23,50,-1,,2017217,19:53:28,50,31.5,,2017217,19:53:38,50,-1,,
2017217,19:53:48,50,-1,,2017217,19:53:53,50,31.5,,2017217,19:54:3,50,-1,,
2017217,19:54:13,50,-1,,2017217,19:54:18,50,31.5,,2017217,19:54:28,50,-1,,
2017217,19:54:39,50,-1,,2017217,19:54:44,50,31.5,,2017217,19:54:54,50,-1,,
2017217,19:55:4,50,-1,,2017217,19:55:9,50,31.5,,2017217,19:55:19,50,-1,,
2017217,19:55:29,50,-1,,2017217,19:55:34,50,31.5,,2017217,19:55:44,50,-1,,
2017217,19:55:55,50,-1,,2017217,19:56:0,50,31.5,,2017217,19:56:10,50,-1,,
2017217,19:56:20,50,-1,,2017217,19:56:25,50,31.5,,2017217,19:56:35,50,-1,,
2017217,19:56:45,50,-1,,2017217,19:56:50,50,31.5,,2017217,19:57:0,50,-1,,
2017217,19:57:10,50,-1,,2017217,19:57:15,50,31.5,,2017217,19:57:26,50,-1,,
2017217,19:57:36,50,-1,,2017217,19:57:41,50,31.5,,2017217,19:57:51,50,-1,,
2017217,19:58:1,50,-1,,2017217,19:58:6,50,31.5,,2017217,19:58:16,50,-1,,
2017217,19:58:26,50,-1,,2017217,19:58:35,50,-1,,2017217,19:58:45,50,-1,,
2017217,19:58:55,50,-1,,2017217,19:59:0,50,31.5,,2017217,19:59:10,50,-1,,
2017217,19:59:20,50,-1,,2017217,19:59:25,50,31.5,,2017217,19:59:35,50,-1,,
