Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,

2017219,19:1:33,50,-1,,2017219,19:1:38,50,31.5,,2017219,19:1:48,50,-1,,
2017219,19:1:58,50,-1,,2017219,19:2:3,50,31.5,,2017219,19:2:13,50,-1,,
2017219,19:2:24,50,-1,,2017219,19:2:29,50,31.5,,2017219,19:2:39,50,-1,,
2017219,19:2:49,50,-1,,2017219,19:2:54,50,31.5,,2017219,19:3:4,50,-1,,
2017219,19:3:14,50,-1,,2017219,19:3:19,50,31.5,,2017219,19:3:29,50,-1,,
2017219,19:3:39,50,-1,,2017219,19:3:44,50,31.5,,2017219,19:3:55,50,-1,,
2017219,19:4:5,50,-1,,2017219,19:4:10,50,31.5,,2017219,19:4:20,50,-1,,
2017219,19:4:30,50,-1,,2017219,19:4:38,50,31.5,,2017219,19:4:48,50,-1,,
2017219,19:4:58,50,-1,,2017219,19:5:6,50,31.5,,2017219,19:5:17,50,-1,,
2017219,19:5:27,50,-1,,2017219,19:5:32,50,31.5,,2017219,19:5:42,50,-1,,
2017219,19:5:52,50,-1,,2017219,19:6:0,50,31.5,,2017219,19:6:10,50,-1,,
2017219,19:6:20,50,-1,,2017219,19:6:25,50,31.5,,2017219,19:6:35,50,-1,,
2017219,19:6:46,50,-1,,2017219,19:6:51,50,31.5,,2017219,19:7:1,50,-1,,
2017219,19:7:11,50,-1,,2017219,19:7:16,50,31.5,,2017219,19:7:26,50,-1,,
2017219,19:7:36,50,-1,,2017219,19:7:41,50,31.5,,2017219,19:7:51,50,-1,,
2017219,19:8:1,50,-1,,2017219,19:8:7,50,31.5,,2017219,19:8:17,50,-1,,
2017219,19:8:27,50,-1,,2017219,19:8:32,50,31.5,,2017219,19:8:42,50,-1,,
2017219,19:8:52,50,-1,,2017219,19:8:57,50,31.5,,2017219,19:9:7,50,-1,,
2017219,19:9:17,50,-1,,2017219,19:9:22,50,31.5,,2017219,19:9:33,50,-1,,
2017219,19:9:43,50,-1,,2017219,19:9:51,50,31.5,,2017219,19:10:1,50,-1,,
2017219,19:10:11,50,-1,,2017219,19:10:16,50,31.5,,2017219,19:10:26,50,-1,,
2017219,19:10:36,50,-1,,2017219,19:10:41,50,31.5,,2017219,19:10:51,50,-1,,
2017219,19:11:2,50,-1,,2017219,19:11:7,50,31.5,,2017219,19:11:17,50,-1,,
2017219,19:11:27,50,-1,,2017219,19:11:35,50,31.5,,2017219,19:11:45,50,-1,,
2017219,19:11:55,50,-1,,2017219,19:12:0,50,31.5,,2017219,19:12:10,50,-1,,
2017219,19:12:21,50,-1,,2017219,19:12:26,50,31.5,,2017219,19:12:36,50,-1,,
2017219,19:12:46,50,-1,,2017219,19:12:51,50,31.5,,2017219,19:13:1,50,-1,,
2017219,19:13:11,50,-1,,2017219,19:13:16,50,31.5,,2017219,19:13:26,50,-1,,
2017219,19:13:36,50,-1,,2017219,19:13:41,50,31.5,,2017219,19:13:52,50,-1,,
2017219,19:14:2,50,-1,,2017219,19:14:7,50,31.5,,2017219,19:14:17,50,-1,,
2017219,19:14:27,50,-1,,2017219,19:14:35,50,31.5,,2017219,19:14:45,50,-1,,
2017219,19:14:55,50,-1,,2017219,19:15:0,50,31.5,,2017219,19:15:11,50,-1,,
2017219,19:15:21,50,-1,,2017219,19:15:26,50,31.5,,2017219,19:15:36,50,-1,,
2017219,19:15:46,50,-1,,2017219,19:15:51,50,31.5,,2017219,19:16:1,50,-1,,
2017219,19:16:11,50,-1,,2017219,19:16:16,50,31.5,,2017219,19:16:26,50,-1,,
2017219,19:16:37,50,-1,,2017219,19:16:42,50,31.5,,2017219,19:16:52,50,-1,,
2017219,19:17:2,50,-1,,2017219,19:17:7,50,31.5,,2017219,19:17:17,50,-1,,
2017219,19:17:27,50,-1,,2017219,19:17:32,50,31.5,,2017219,19:17:42,50,-1,,
2017219,19:17:53,50,-1,,2017219,19:17:58,50,31.5,,2017219,19:18:8,50,-1,,
2017219,19:18:18,50,-1,,2017219,19:18:23,50,31.5,,2017219,19:18:33,50,-1,,
2017219,19:18:43,50,-1,,2017219,19:18:51,50,31.5,,2017219,19:19:1,50,-1,,
2017219,19:19:11,50,-1,,2017219,19:19:16,50,31.5,,2017219,19:19:27,50,-1,,
2017219,19:19:37,50,-1,,2017219,19:19:42,50,31.5,,2017219,19:19:52,50,-1,,
2017219,19:20:2,50,-1,,2017219,19:20:10,50,31.5,,2017219,19:20:20,50,-1,,
2017219,19:20:30,50,-1,,2017219,19:20:38,50,31.5,,2017219,19:20:49,50,-1,,
2017219,19:20:59,50,-1,,2017219,19:21:4,50,31.5,,2017219,19:21:14,50,-1,,
2017219,19:21:24,50,-1,,2017219,19:21:34,50,-1,,2017219,19:21:44,50,-1,,
2017219,19:21:54,50,-1,,2017219,19:22:2,50,31.5,,2017219,19:22:13,50,-1,,
2017219,19:22:23,50,-1,,2017219,19:22:28,50,31.5,,2017219,19:22:38,50,-1,,
2017219,19:22:48,50,-1,,2017219,19:22:53,50,31.5,,2017219,19:23:3,50,-1,,
2017219,19:23:13,50,-1,,2017219,19:23:18,50,31.5,,2017219,19:23:28,50,-1,,
2017219,19:23:39,50,-1,,2017219,19:23:44,50,31.5,,2017219,19:23:54,50,-1,,
2017219,19:24:4,50,-1,,2017219,19:24:9,50,31.75,,2017219,19:24:19,50,-1,,
2017219,19:24:29,50,-1,,2017219,19:24:34,50,31.5,,2017219,19:24:44,50,-1,,
2017219,19:24:54,50,-1,,2017219,19:25:3,50,31.5,,2017219,19:25:13,50,-1,,
2017219,19:25:23,50,-1,,2017219,19:25:31,50,31.5,,2017219,19:25:41,50,-1,,
2017219,19:25:51,50,-1,,2017219,19:25:56,50,31.5,,2017219,19:26:6,50,-1,,
2017219,19:26:16,50,-1,,2017219,19:26:21,50,31.5,,2017219,19:26:32,50,-1,,
2017219,19:26:42,50,-1,,2017219,19:26:47,50,31.5,,2017219,19:26:57,50,-1,,
2017219,19:27:7,50,-1,,2017219,19:27:12,50,31.5,,2017219,19:27:22,50,-1,,
2017219,19:27:32,50,-1,,2017219,19:27:37,50,31.75,,2017219,19:27:47,50,-1,,
2017219,19:27:58,50,-1,,2017219,19:28:3,50,31.5,,2017219,19:28:13,50,-1,,
2017219,19:28:23,50,-1,,2017219,19:28:31,50,31.5,,2017219,19:28:41,50,-1,,
2017219,19:28:51,50,-1,,2017219,19:28:56,50,31.5,,2017219,19:29:6,50,-1,,
2017219,19:29:17,50,-1,,2017219,19:29:22,50,31.5,,2017219,19:29:32,50,-1,,
2017219,19:29:42,50,-1,,2017219,19:29:47,50,31.5,,2017219,19:29:57,50,-1,,
2017219,19:30:7,50,-1,,2017219,19:30:12,50,31.5,,2017219,19:30:22,50,-1,,
2017219,19:30:32,50,-1,,2017219,19:30:43,50,-1,,2017219,19:30:53,50,-1,,
2017219,19:31:3,50,-1,,2017219,19:31:8,50,31.5,,2017219,19:31:18,50,-1,,
2017219,19:31:28,50,-1,,2017219,19:31:36,50,31.5,,2017219,19:31:46,50,-1,,
2017219,19:31:56,50,-1,,2017219,19:32:1,50,31.5,,2017219,19:32:12,50,-1,,
2017219,19:32:22,50,-1,,2017219,19:32:27,50,31.5,,2017219,19:32:37,50,-1,,
2017219,19:32:47,50,-1,,2017219,19:32:52,50,31.5,,2017219,19:33:2,50,-1,,
2017219,19:33:12,50,-1,,2017219,19:33:17,50,31.5,,2017219,19:33:28,50,-1,,
2017219,19:33:38,50,-1,,2017219,19:33:48,50,-1,,2017219,19:33:58,50,-1,,
2017219,19:34:8,50,-1,,2017219,19:34:13,50,31.5,,2017219,19:34:23,50,-1,,
2017219,19:34:33,50,-1,,2017219,19:34:43,50,-1,,2017219,19:34:54,50,-1,,
2017219,19:35:4,50,-1,,2017219,19:35:9,50,31.5,,2017219,19:35:19,50,-1,,
2017219,19:35:29,50,-1,,2017219,19:35:34,50,31.5,,2017219,19:35:44,50,-1,,
2017219,19:35:54,50,-1,,2017219,19:35:59,50,31.5,,2017219,19:36:10,50,-1,,
2017219,19:36:20,50,-1,,2017219,19:36:25,50,31.5,,2017219,19:36:35,50,-1,,
2017219,19:36:45,50,-1,,2017219,19:36:50,50,31.5,,2017219,19:37:0,50,-1,,
2017219,19:37:10,50,-1,,2017219,19:37:15,50,31.5,,2017219,19:37:25,50,-1,,
2017219,19:37:36,50,-1,,2017219,19:37:41,50,31.5,,2017219,19:37:51,50,-1,,
2017219,19:38:1,50,-1,,2017219,19:38:6,50,31.75,,2017219,19:38:16,50,-1,,
2017219,19:38:26,50,-1,,2017219,19:38:31,50,31.75,,2017219,19:38:41,50,-1,,
2017219,19:38:51,50,-1,,2017219,19:39:0,50,31.5,,2017219,19:39:10,50,-1,,
2017219,19:39:20,50,-1,,2017219,19:39:25,50,31.5,,2017219,19:39:35,50,-1,,
2017219,19:39:45,50,-1,,2017219,19:39:50,50,31.5,,2017219,19:40:0,50,-1,,
2017219,19:40:10,50,-1,,2017219,19:40:15,50,31.5,,2017219,19:40:26,50,-1,,
2017219,19:40:36,50,-1,,2017219,19:40:41,50,31.5,,2017219,19:40:51,50,-1,,
2017219,19:41:1,50,-1,,2017219,19:41:6,50,31.5,,2017219,19:41:16,50,-1,,
2017219,19:41:26,50,-1,,2017219,19:41:31,50,31.5,,2017219,19:41:41,50,-1,,
2017219,19:41:50,50,-1,,2017219,19:41:55,50,31.5,,2017219,19:42:5,50,-1,,
2017219,19:42:16,50,-1,,2017219,19:42:21,50,31.5,,2017219,19:42:31,50,-1,,
2017219,19:42:41,50,-1,,2017219,19:42:46,50,31.5,,2017219,19:42:56,50,-1,,
2017219,19:43:6,50,-1,,2017219,19:43:11,50,31.75,,2017219,19:43:21,50,-1,,
2017219,19:43:31,50,-1,,2017219,19:43:36,50,31.5,,2017219,19:43:47,50,-1,,
2017219,19:43:57,50,-1,,2017219,19:44:7,50,-1,,2017219,19:44:17,50,-1,,
2017219,19:44:27,50,-1,,2017219,19:44:32,50,31.5,,2017219,19:44:42,50,-1,,
2017219,19:44:52,50,-1,,2017219,19:44:57,50,31.5,,2017219,19:45:8,50,-1,,
2017219,19:45:18,50,-1,,2017219,19:45:23,50,31.5,,2017219,19:45:33,50,-1,,
2017219,19:45:43,50,-1,,2017219,19:45:48,50,31.75,,2017219,19:45:58,50,-1,,
2017219,19:46:8,50,-1,,2017219,19:46:16,50,31.5,,2017219,19:46:27,50,-1,,
2017219,19:46:37,50,-1,,2017219,19:46:42,50,31.5,,2017219,19:46:52,50,-1,,
2017219,19:47:2,50,-1,,2017219,19:47:7,50,31.5,,2017219,19:47:17,50,-1,,
2017219,19:47:27,50,-1,,2017219,19:47:32,50,31.5,,2017219,19:47:42,50,-1,,
2017219,19:47:53,50,-1,,2017219,19:47:58,50,31.75,,2017219,19:48:8,50,-1,,
2017219,19:48:18,50,-1,,2017219,19:48:23,50,31.75,,2017219,19:48:33,50,-1,,
2017219,19:48:43,50,-1,,2017219,19:48:48,50,31.75,,2017219,19:48:58,50,-1,,
2017219,19:49:9,50,-1,,2017219,19:49:17,50,31.5,,2017219,19:49:27,50,-1,,
2017219,19:49:37,50,-1,,2017219,19:49:45,50,31.5,,2017219,19:49:55,50,-1,,
2017219,19:50:5,50,-1,,2017219,19:50:10,50,31.5,,2017219,19:50:20,50,-1,,
2017219,19:50:30,50,-1,,2017219,19:50:38,50,31.75,,2017219,19:50:49,50,-1,,
2017219,19:50:59,50,-1,,2017219,19:51:4,50,31.5,,2017219,19:51:14,50,-1,,
2017219,19:51:24,50,-1,,2017219,19:51:29,50,31.5,,2017219,19:51:39,50,-1,,
2017219,19:51:49,50,-1,,2017219,19:51:54,50,31.75,,2017219,19:52:5,50,-1,,
2017219,19:52:15,50,-1,,2017219,19:52:20,50,31.5,,2017219,19:52:30,50,-1,,
2017219,19:52:40,50,-1,,2017219,19:52:45,50,31.5,,2017219,19:52:55,50,-1,,
2017219,19:53:5,50,-1,,2017219,19:53:10,50,31.75,,2017219,19:53:20,50,-1,,
2017219,19:53:31,50,-1,,2017219,19:53:36,50,31.75,,2017219,19:53:46,50,-1,,
2017219,19:53:56,50,-1,,2017219,19:54:4,50,31.5,,2017219,19:54:14,50,-1,,
