Toch2Date,Toch2Time,Toch2RequestedTemperature[C],Toch2MeasuredTemperature[C],,Toch3Date,Toch3Time,Toch3RequestedTemperature[C],Toch3MeasuredTemperature[C],,Toch4Date,Toch4Time,Toch4RequestedTemperature[C],Toch4MeasuredTemperature[C],,
2017215,14:13:26,50,23.6875,,2017215,14:13:31,50,32,,2017215,14:13:41,60,-1,,
2017215,14:13:46,50,23.6875,,2017215,14:13:51,50,32.25,,2017215,14:14:1,60,-1,,
2017215,14:14:6,50,23.6875,,2017215,14:14:11,50,31.5,,2017215,14:14:21,60,-1,,
2017215,14:14:26,50,23.6875,,2017215,14:14:31,50,32.25,,2017215,14:14:41,60,-1,,
2017215,14:14:46,50,23.6875,,2017215,14:14:51,50,32.25,,2017215,14:15:1,60,-1,,
2017215,14:15:6,50,23.6875,,2017215,14:15:15,50,32.25,,2017215,14:15:25,60,-1,,
2017215,14:15:33,50,23.6875,,2017215,14:15:41,50,32,,2017215,14:15:51,60,-1,,
2017215,14:15:56,50,23.6875,,2017215,14:16:4,50,32,,2017215,14:16:14,60,-1,,
2017215,14:16:20,50,23.6875,,2017215,14:16:25,50,32,,2017215,14:16:35,60,-1,,
2017215,14:16:40,50,23.6875,,2017215,14:16:45,50,32,,2017215,14:16:55,60,-1,,
2017215,14:17:0,50,23.6875,,2017215,14:17:5,50,32,,2017215,14:17:15,60,-1,,
2017215,14:17:20,50,23.6875,,2017215,14:17:25,50,32,,2017215,14:17:35,60,-1,,
2017215,14:17:40,50,23.6875,,2017215,14:17:45,50,32,,2017215,14:17:55,60,-1,,
2017215,14:18:1,50,23.6875,,2017215,14:18:6,50,32,,2017215,14:18:16,60,-1,,
2017215,14:18:21,50,23.6875,,2017215,14:18:26,50,32,,2017215,14:18:36,60,-1,,
2017215,14:18:41,50,23.6875,,2017215,14:18:46,50,32,,2017215,14:18:56,60,-1,,
2017215,14:19:1,50,23.625,,2017215,14:19:6,50,32,,2017215,14:19:16,60,-1,,
2017215,14:19:21,50,23.625,,2017215,14:19:26,50,32,,2017215,14:19:36,60,-1,,
2017215,14:19:41,50,23.625,,2017215,14:19:46,50,32,,2017215,14:19:57,60,-1,,
2017215,14:20:2,50,23.625,,2017215,14:20:7,50,32,,2017215,14:20:17,60,-1,,
2017215,14:20:22,50,23.625,,2017215,14:20:27,50,32,,2017215,14:20:37,60,-1,,
2017215,14:20:42,50,23.625,,2017215,14:20:47,50,32,,2017215,14:20:57,60,-1,,
2017215,14:21:2,50,23.625,,2017215,14:21:7,50,32,,2017215,14:21:17,60,-1,,
2017215,14:21:22,50,23.625,,2017215,14:21:27,50,32,,2017215,14:21:37,60,-1,,
2017215,14:21:42,50,23.625,,2017215,14:21:48,50,32,,2017215,14:21:58,60,-1,,
2017215,14:22:3,50,23.625,,2017215,14:22:8,50,32,,2017215,14:22:18,60,-1,,
2017215,14:22:23,50,23.625,,2017215,14:22:28,50,32,,2017215,14:22:38,60,-1,,
2017215,14:22:43,50,23.625,,2017215,14:22:48,50,32,,2017215,14:22:58,60,-1,,
2017215,14:23:3,50,23.625,,2017215,14:23:8,50,32,,2017215,14:23:18,60,-1,,
2017215,14:23:23,50,23.625,,2017215,14:23:28,50,32,,2017215,14:23:39,60,-1,,
2017215,14:23:44,50,23.625,,2017215,14:23:49,50,32,,2017215,14:23:59,60,-1,,
2017215,14:24:4,50,23.625,,2017215,14:24:9,50,32,,2017215,14:24:19,60,-1,,
2017215,14:24:24,50,23.625,,2017215,14:24:29,50,32,,2017215,14:24:39,60,-1,,
2017215,14:24:44,50,23.625,,2017215,14:24:49,50,31.75,,2017215,14:24:59,60,-1,,
2017215,14:25:4,50,23.625,,2017215,14:25:9,50,31.75,,2017215,14:25:19,60,-1,,
2017215,14:25:24,50,23.625,,2017215,14:25:29,50,31.75,,2017215,14:25:40,60,-1,,
2017215,14:25:45,50,23.625,,2017215,14:25:50,50,31.75,,2017215,14:26:0,60,-1,,
2017215,14:26:6,50,23.625,,2017215,14:26:11,50,31.5,,2017215,14:26:21,60,-1,,
2017215,14:26:26,50,23.5625,,2017215,14:26:31,50,31.5,,2017215,14:26:41,60,-1,,
2017215,14:26:46,50,23.5625,,2017215,14:26:51,50,31.5,,2017215,14:27:1,60,-1,,
2017215,14:27:6,50,23.5625,,2017215,14:27:11,50,31.5,,2017215,14:27:21,60,-1,,
2017215,14:27:26,50,23.5625,,2017215,14:27:31,50,31.5,,2017215,14:27:41,60,-1,,
2017215,14:27:46,50,23.5625,,2017215,14:27:51,50,31.5,,2017215,14:28:2,60,-1,,
2017215,14:28:7,50,23.5625,,2017215,14:28:12,50,31.5,,2017215,14:28:22,60,-1,,
2017215,14:28:27,50,23.5625,,2017215,14:28:32,50,31.5,,2017215,14:28:42,60,-1,,
2017215,14:28:47,50,23.5625,,2017215,14:28:52,50,31.5,,2017215,14:29:2,60,-1,,
2017215,14:29:7,50,23.5625,,2017215,14:29:12,50,31.5,,2017215,14:29:22,60,-1,,
2017215,14:29:27,50,23.5625,,2017215,14:29:32,50,31.5,,2017215,14:29:42,60,-1,,
2017215,14:29:47,50,23.5625,,2017215,14:29:52,50,31.5,,2017215,14:30:3,60,-1,,
2017215,14:30:8,50,23.5625,,2017215,14:30:13,50,31.5,,2017215,14:30:23,60,-1,,
2017215,14:30:28,50,23.5625,,2017215,14:30:33,50,31.5,,2017215,14:30:43,60,-1,,
2017215,14:30:48,50,23.5,,2017215,14:30:53,50,31.5,,2017215,14:31:3,60,-1,,
2017215,14:31:8,50,23.5,,2017215,14:31:13,50,31.5,,2017215,14:31:23,60,-1,,
2017215,14:31:28,50,23.5625,,2017215,14:31:33,50,31.5,,2017215,14:31:44,60,-1,,
2017215,14:31:49,50,23.5625,,2017215,14:31:54,50,31.25,,2017215,14:32:4,60,-1,,
2017215,14:32:9,50,23.5625,,2017215,14:32:14,50,31.25,,2017215,14:32:24,60,-1,,
2017215,14:32:29,50,23.5625,,2017215,14:32:34,50,31.25,,2017215,14:32:44,60,-1,,
2017215,14:32:49,50,23.5625,,2017215,14:32:54,50,31.25,,2017215,14:33:4,60,-1,,
2017215,14:33:9,50,23.5625,,2017215,14:33:14,50,31.25,,2017215,14:33:24,60,-1,,
2017215,14:33:29,50,23.5625,,2017215,14:33:34,50,31,,2017215,14:33:45,60,-1,,
2017215,14:33:50,50,23.5625,,2017215,14:33:55,50,31.25,,2017215,14:34:5,60,-1,,
2017215,14:34:10,50,23.5625,,2017215,14:34:15,50,31,,2017215,14:34:25,60,-1,,
2017215,14:34:30,50,23.5625,,2017215,14:34:35,50,31,,2017215,14:34:45,60,-1,,
2017215,14:34:50,50,23.5625,,2017215,14:34:55,50,31,,2017215,14:35:5,60,-1,,
2017215,14:35:10,50,23.5,,2017215,14:35:15,50,31,,2017215,14:35:26,60,-1,,
2017215,14:35:31,50,23.5625,,2017215,14:35:36,50,31,,2017215,14:35:46,60,-1,,
2017215,14:35:51,50,23.5,,2017215,14:35:56,50,31,,2017215,14:36:7,60,-1,,
2017215,14:36:12,50,23.5,,2017215,14:36:17,50,31,,2017215,14:36:27,60,-1,,
2017215,14:36:32,50,23.5,,2017215,14:36:37,50,31.25,,2017215,14:36:47,60,-1,,
2017215,14:36:52,50,23.5,,2017215,14:36:57,50,31,,2017215,14:37:7,60,-1,,
2017215,14:37:12,50,23.5,,2017215,14:37:17,50,31,,2017215,14:37:27,60,-1,,
