Date,Time,Temp1RequestedTemperature[C],Temp1MeasuredTemperature[C],,Temp2RequestedTemperature[C],Temp2MeasuredTemperature[C],,Temp3RequestedTemperature[C],Temp3MeasuredTemperature[C],,
2017628,11:38:56,30,-1,,20,-1,,30,-1,,
2017628,11:39:6,30,-1,,20,-1,,30,-1,,
2017628,11:39:16,30,-1,,20,-1,,30,-1,,
2017628,11:39:26,30,-1,,20,-1,,30,-1,,
2017628,11:39:36,30,-1,,20,-1,,30,-1,,
2017628,11:39:46,30,-1,,20,-1,,30,-1,,
2017628,11:39:57,30,-1,,20,-1,,30,-1,,
2017628,11:40:7,30,-1,,20,-1,,30,-1,,
2017628,11:40:17,30,-1,,20,-1,,30,-1,,
2017628,11:40:27,30,-1,,20,-1,,30,-1,,
2017628,11:40:37,30,-1,,20,-1,,30,-1,,
2017628,11:40:47,30,-1,,20,-1,,30,-1,,
2017628,11:40:57,30,-1,,20,-1,,30,-1,,
2017628,11:41:8,30,-1,,20,-1,,30,-1,,
2017628,11:41:18,30,-1,,20,-1,,30,-1,,
2017628,11:41:28,30,-1,,20,-1,,30,-1,,
2017628,11:41:38,30,-1,,20,-1,,30,-1,,
2017628,11:41:48,30,-1,,20,-1,,30,-1,,
2017628,11:41:58,30,-1,,20,-1,,30,-1,,
2017628,11:42:9,30,-1,,20,-1,,30,-1,,
2017628,11:42:19,30,-1,,20,-1,,30,-1,,
2017628,11:42:29,30,-1,,20,-1,,30,-1,,
2017628,11:42:39,30,-1,,20,-1,,30,-1,,
2017628,11:42:44,30,0,,20,26.25,,30,27,,
2017628,11:42:52,30,0,,20,26.25,,30,27,,
2017628,11:42:57,30,0,,20,26.25,,30,26.75,,
2017628,11:43:2,30,0,,20,26.25,,30,26.75,,
2017628,11:43:7,30,0,,20,26.25,,30,26.75,,
2017628,11:43:12,30,0,,20,26.25,,30,26.75,,
2017628,11:43:17,30,0,,20,26.25,,30,26.75,,
2017628,11:43:22,30,0,,20,26.25,,30,26.75,,
2017628,11:43:27,30,0,,20,26.25,,30,26.75,,
2017628,11:43:32,30,0,,20,26.25,,30,26.75,,
2017628,11:43:37,30,0,,20,26.25,,30,26.75,,
2017628,11:43:42,30,0,,20,26.25,,30,26.5,,
2017628,11:43:50,30,0,,20,26.25,,30,26.5,,
2017628,11:43:58,30,0,,20,26,,30,26.75,,
2017628,11:44:6,30,0,,20,26,,30,26.75,,
2017628,11:44:11,30,0,,20,26,,30,26.75,,
2017628,11:44:16,30,0,,20,26.5,,30,26.75,,
2017628,11:44:25,30,0,,20,26,,30,26.75,,
2017628,11:44:30,30,0,,20,26,,30,26.75,,
2017628,11:44:35,30,0,,20,26.25,,30,26.75,,
2017628,11:44:40,30,0,,20,26.25,,30,26.75,,
2017628,11:44:45,30,0,,20,26.25,,30,26.75,,
2017628,11:44:53,30,0,,20,26,,30,26.75,,
2017628,11:44:58,30,0,,20,26,,30,26.75,,
2017628,11:45:8,30,-1,,20,-1,,30,-1,,
2017628,11:45:16,30,0,,20,26.25,,30,26.75,,
2017628,11:45:21,30,0,,20,26.25,,30,26.75,,
2017628,11:45:31,30,-1,,20,-1,,30,-1,,
2017628,11:45:39,30,0,,20,26.25,,30,26.75,,
2017628,11:45:44,30,0,,20,26.25,,30,26.75,,
2017628,11:45:49,30,0,,20,26.25,,30,26.75,,
2017628,11:45:57,30,0,,20,26,,30,26.5,,
2017628,11:46:7,30,-1,,20,-1,,30,-1,,
2017628,11:46:12,30,0,,20,26,,30,26.75,,
2017628,11:46:17,30,0,,20,26,,30,26.5,,
2017628,11:46:22,30,0,,20,26,,30,26.5,,
2017628,11:46:27,30,0,,20,26.25,,30,26.75,,
