Date,Time,Temp1RequestedTemperature[C],Temp1MeasuredTemperature[C],,Temp2RequestedTemperature[C],Temp2MeasuredTemperature[C],,Temp3RequestedTemperature[C],Temp3MeasuredTemperature[C],,
2017627,15:8:40,30,0,,20,25.75,,150,27,,
2017627,15:8:45,30,0,,20,25.75,,150,27.25,,
2017627,15:8:50,30,0,,20,26.5,,150,27,,
2017627,15:8:55,30,0,,20,26.5,,150,27,,
2017627,15:9:3,30,0,,20,0,,150,0,,
2017627,15:9:8,30,0,,20,26,,150,27,,
2017627,15:9:13,30,0,,20,26,,150,27,,
2017627,15:9:21,30,0,,20,26,,150,27.25,,
2017627,15:9:26,30,0,,20,26,,150,27,,
2017627,15:9:31,30,0,,20,26,,150,27,,
2017627,15:9:39,30,0,,20,26,,150,27,,
2017627,15:9:44,30,0,,20,26,,150,27,,
2017627,15:9:52,30,0,,20,26.5,,150,27,,
2017627,15:9:57,30,0,,20,26,,150,27,,
2017627,15:10:2,30,0,,20,26,,150,27,,
2017627,15:10:7,30,0,,20,26,,150,27.25,,
2017627,15:10:12,30,0,,20,26,,150,27.25,,
2017627,15:10:17,30,0,,20,26.25,,150,27,,
2017627,15:10:22,30,0,,20,26.25,,150,27,,
2017627,15:10:27,30,0,,20,26.5,,150,27,,
2017627,15:10:33,30,0,,20,26.5,,150,27,,
2017627,15:10:38,30,0,,20,26.25,,150,26.75,,
2017627,15:10:43,30,0,,20,26.25,,150,26.75,,
2017627,15:10:48,30,0,,20,25.5,,150,26.25,,
2017627,15:10:53,30,0,,20,25.5,,150,26.25,,
2017627,15:10:58,30,0,,20,25.75,,150,26.5,,
2017627,15:11:3,30,0,,20,25.75,,150,26.5,,
2017627,15:11:8,30,0,,20,25.25,,150,26.25,,
2017627,15:11:13,30,0,,20,25.25,,150,26.25,,
2017627,15:11:18,30,0,,20,25,,150,26.25,,
2017627,15:11:28,30,-1,,20,-1,,150,-1,,
2017627,15:11:33,30,0,,20,26,,150,26.25,,
2017627,15:11:38,30,0,,20,26,,150,26.25,,
2017627,15:11:43,30,0,,20,26,,150,26.25,,
2017627,15:11:48,30,0,,20,26.5,,150,26.75,,
2017627,15:11:53,30,0,,20,26.5,,150,26.75,,
2017627,15:11:58,30,0,,20,26.5,,150,26.75,,
2017627,15:12:3,30,0,,20,26.5,,150,26.75,,
2017627,15:12:8,30,0,,20,26.25,,150,27.25,,
2017627,15:12:13,30,0,,20,26.25,,150,27.25,,
2017627,15:12:21,30,0,,20,26,,150,27.25,,
2017627,15:12:26,30,0,,20,26,,150,27.25,,
2017627,15:12:31,30,0,,20,26,,150,27,,
2017627,15:12:36,30,0,,20,26,,150,27,,
2017627,15:12:41,30,0,,20,26,,150,27.25,,
2017627,15:12:46,30,0,,20,26,,150,27.25,,
2017627,15:12:51,30,0,,20,26,,150,27,,
2017627,15:12:56,30,0,,20,26,,150,27,,
2017627,15:13:1,30,0,,20,25.75,,150,27.25,,
2017627,15:13:6,30,0,,20,25.75,,150,27.25,,
2017627,15:13:14,30,0,,20,26,,150,27.25,,
2017627,15:13:19,30,0,,20,25.75,,150,27,,
2017627,15:13:24,30,0,,20,25.75,,150,27,,
2017627,15:13:29,30,0,,20,26,,150,27.25,,
2017627,15:13:34,30,0,,20,26,,150,27.25,,
2017627,15:13:42,30,0,,20,26.25,,150,27.25,,
2017627,15:13:50,30,0,,20,26,,150,27.25,,
2017627,15:13:58,30,0,,20,26.25,,150,27.25,,
2017627,15:14:3,30,0,,20,26.25,,150,27.25,,
2017627,15:14:8,30,0,,20,26,,150,27.25,,
2017627,15:14:13,30,0,,20,26,,150,27.25,,
2017627,15:14:18,30,0,,20,26.25,,150,27,,
2017627,15:14:23,30,0,,20,26.25,,150,27,,
2017627,15:14:28,30,0,,20,26.75,,150,24,,
2017627,15:14:33,30,0,,20,26.75,,150,24,,
2017627,15:14:38,30,0,,20,27.25,,150,30,,
2017627,15:14:43,30,0,,20,27.25,,150,30,,
2017627,15:14:48,30,0,,20,26.75,,150,27.5,,
2017627,15:14:53,30,0,,20,26.75,,150,27.5,,
2017627,15:14:58,30,0,,20,26.25,,150,27.25,,
2017627,15:15:3,30,0,,20,26.25,,150,27.25,,
2017627,15:15:8,30,0,,20,26.5,,150,27.25,,
2017627,15:15:13,30,0,,20,26.5,,150,27.25,,
2017627,15:15:18,30,0,,20,24,,150,0,,
2017627,15:15:23,30,0,,20,24,,150,0,,
2017627,15:15:28,30,0,,20,24,,150,0,,
2017627,15:15:33,30,0,,20,24,,150,0,,
2017627,15:15:39,30,0,,20,24,,150,0,,
2017627,15:15:44,30,0,,20,24,,150,0,,
2017627,15:15:49,30,0,,20,26.75,,150,27.75,,
2017627,15:15:54,30,0,,20,0,,150,0,,
2017627,15:15:59,30,0,,20,26.25,,150,27,,
2017627,15:16:4,30,0,,20,26.25,,150,27,,
2017627,15:16:9,30,0,,20,26.25,,150,27,,
2017627,15:16:14,30,0,,20,26.25,,150,27.25,,
2017627,15:16:19,30,0,,20,26.25,,150,27.25,,
2017627,15:16:24,30,0,,20,26.25,,150,27,,
2017627,15:16:32,30,0,,20,26.25,,150,27,,
2017627,15:16:37,30,0,,20,26.25,,150,27.25,,
2017627,15:16:42,30,0,,20,26.25,,150,27.25,,
2017627,15:16:47,30,0,,20,26.25,,150,27,,
2017627,15:16:52,30,0,,20,26.25,,150,27,,
2017627,15:16:57,30,0,,20,26,,150,27,,
2017627,15:17:2,30,0,,20,26,,150,27,,
2017627,15:17:7,30,0,,20,26,,150,27,,
2017627,15:17:12,30,0,,20,26,,150,27,,
2017627,15:17:17,30,0,,20,26.25,,150,27,,
2017627,15:17:22,30,0,,20,26.25,,150,27,,
2017627,15:17:27,30,0,,20,26.25,,150,27,,
2017627,15:17:32,30,0,,20,26.25,,150,27,,
2017627,15:17:40,30,0,,20,26.25,,150,27,,
2017627,15:17:45,30,0,,20,26.25,,150,27,,
2017627,15:17:55,30,-1,,20,-1,,150,-1,,
2017627,15:18:0,30,0,,20,26.25,,150,27,,
2017627,15:18:5,30,0,,20,26.25,,150,27,,
2017627,15:18:10,30,0,,20,26.25,,150,27,,
2017627,15:18:15,30,0,,20,26.25,,150,27,,
2017627,15:18:20,30,0,,20,26.25,,150,27,,
2017627,15:18:25,30,0,,20,26.25,,150,27,,
2017627,15:18:30,30,0,,20,26.25,,150,27,,
2017627,15:18:38,30,0,,20,26.25,,150,26.75,,
2017627,15:18:43,30,0,,20,25.75,,150,27.25,,
2017627,15:18:48,30,0,,20,25.75,,150,27.25,,
2017627,15:18:53,30,0,,20,26,,150,27,,
2017627,15:18:58,30,0,,20,26,,150,27,,
2017627,15:19:3,30,0,,20,26.25,,150,27,,
2017627,15:19:8,30,0,,20,26.25,,150,27,,
2017627,15:19:13,30,0,,20,26.25,,150,27,,
2017627,15:19:18,30,0,,20,26.25,,150,27,,
2017627,15:19:26,30,0,,20,26,,150,27,,
