Date,Time,Temp1RequestedTemperature[C],Temp1MeasuredTemperature[C],,Temp2RequestedTemperature[C],Temp2MeasuredTemperature[C],,Temp3RequestedTemperature[C],Temp3MeasuredTemperature[C],,
2017630,12:33:50,10,26.25,,10,25.75,,50,26.5,,
2017630,12:33:55,10,26.25,,10,25.75,,50,26.5,,
2017630,12:34:0,10,26,,10,25.75,,50,26.5,,
2017630,12:34:8,10,26,,10,25.75,,50,26.5,,
2017630,12:34:13,10,26,,10,25.75,,50,26.5,,
2017630,12:34:18,10,26,,10,25.5,,50,26.75,,
2017630,12:34:23,10,26,,10,25.5,,50,26.75,,
2017630,12:34:28,10,26,,10,25.75,,50,26.5,,
2017630,12:34:33,10,26,,10,25.75,,50,26.5,,
2017630,12:34:38,10,26.25,,10,25.75,,50,26.5,,
2017630,12:34:43,10,26.25,,10,25.75,,50,26.5,,
2017630,12:34:48,10,26,,10,25.75,,50,26.5,,
2017630,12:34:53,10,26,,10,25.75,,50,26.5,,
2017630,12:34:58,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:3,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:8,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:16,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:21,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:26,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:31,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:36,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:41,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:46,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:51,10,26.25,,10,25.75,,50,26.5,,
2017630,12:35:56,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:1,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:6,10,26.25,,10,25.75,,50,26.25,,
2017630,12:36:11,10,26.25,,10,25.75,,50,26.25,,
2017630,12:36:16,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:21,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:26,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:31,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:36,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:41,10,26.25,,10,25.75,,50,26.5,,
2017630,12:36:46,10,26,,10,25.75,,50,26.5,,
2017630,12:36:51,10,26,,10,25.75,,50,26.5,,
2017630,12:36:56,10,26.25,,10,25.75,,50,26.5,,
2017630,12:37:1,10,26.25,,10,25.75,,50,26.5,,
2017630,12:37:6,10,26.25,,10,25.75,,50,26.5,,
2017630,12:37:11,10,26.25,,10,25.75,,50,26.5,,
2017630,12:37:16,10,26.25,,10,25.75,,50,26.5,,
2017630,12:37:21,10,26.25,,10,25.75,,50,26.5,,
