Date,Time,Temp1RequestedTemperature[C],Temp1MeasuredTemperature[C],,Temp2RequestedTemperature[C],Temp2MeasuredTemperature[C],,Temp3RequestedTemperature[C],Temp3MeasuredTemperature[C],,
2017628,12:25:31,20,26.25,,30,25.75,,40,26.5,,
2017628,12:25:36,20,26.25,,30,26,,40,26.5,,
2017628,12:25:41,20,26.25,,30,26,,40,26.5,,
2017628,12:25:46,20,26.25,,30,26.25,,40,26.5,,
2017628,12:25:51,20,26.25,,30,26.25,,40,26.5,,
2017628,12:25:56,20,26.25,,30,25.75,,40,26.75,,
2017628,12:26:1,20,26.25,,30,25.75,,40,26.75,,
2017628,12:26:6,20,26.5,,30,26.25,,40,27,,
2017628,12:26:11,20,26.5,,30,26.25,,40,27,,
2017628,12:26:16,20,26.5,,30,26,,40,27,,
2017628,12:26:21,20,26.5,,30,26,,40,27,,
2017628,12:26:26,20,26.5,,30,25.75,,40,26.75,,
2017628,12:26:31,20,26.5,,30,25.75,,40,26.75,,
2017628,12:26:36,20,26.5,,30,26,,40,27,,
2017628,12:26:44,20,0,,30,0,,40,0,,
2017628,12:26:49,20,26.25,,30,25.75,,40,26.75,,
2017628,12:26:57,20,26.25,,30,25.75,,40,26.75,,
2017628,12:27:7,20,-1,,30,-1,,40,-1,,
2017628,12:27:17,20,-1,,30,-1,,40,-1,,
2017628,12:27:22,20,0,,30,0,,40,0,,
2017628,12:27:27,20,25.5,,30,25,,40,25.5,,
2017628,12:27:32,20,25.5,,30,25,,40,25.5,,
2017628,12:27:37,20,26.25,,30,25.75,,40,26.5,,
2017628,12:27:42,20,26.25,,30,25.75,,40,26.5,,
2017628,12:27:47,20,26.25,,30,25.75,,40,26.5,,
2017628,12:27:55,20,26.25,,30,25.75,,40,26.5,,
2017628,12:28:0,20,26.5,,30,26,,40,26.5,,
2017628,12:28:5,20,26.5,,30,26,,40,26.5,,
2017628,12:28:13,20,26.5,,30,25.75,,40,26.5,,
2017628,12:28:22,20,29,,30,28.5,,40,29.25,,
2017628,12:28:32,20,-1,,30,-1,,40,-1,,
2017628,12:28:37,20,29.25,,30,28.75,,40,29.25,,
2017628,12:28:45,20,29.25,,30,28.75,,40,29.25,,
2017628,12:28:50,20,29,,30,28.5,,40,29.5,,
2017628,12:29:0,20,-1,,30,-1,,40,-1,,
2017628,12:29:5,20,29.5,,30,29,,40,29.5,,
2017628,12:29:10,20,29.25,,30,28.75,,40,29.5,,
2017628,12:29:18,20,27.25,,30,26.5,,40,27.5,,
2017628,12:29:23,20,27.25,,30,26.5,,40,27.5,,
2017628,12:29:28,20,26.5,,30,26.5,,40,27,,
2017628,12:29:33,20,26.5,,30,26.5,,40,27,,
2017628,12:29:38,20,26.5,,30,26.25,,40,27,,
2017628,12:29:43,20,26.5,,30,26.25,,40,27,,
2017628,12:29:48,20,26.5,,30,26,,40,27,,
2017628,12:29:53,20,26.5,,30,26,,40,27,,
2017628,12:29:58,20,26.5,,30,26,,40,26.75,,
2017628,12:30:3,20,26.5,,30,26,,40,26.75,,
2017628,12:30:8,20,26.25,,30,26,,40,26.75,,
2017628,12:30:13,20,26.25,,30,26,,40,26.75,,
2017628,12:30:18,20,26.25,,30,26,,40,26.75,,
2017628,12:30:23,20,26.25,,30,26,,40,26.75,,
2017628,12:30:28,20,26.5,,30,26,,40,27,,
2017628,12:30:33,20,26.5,,30,26,,40,27,,
2017628,12:30:43,20,-1,,30,-1,,40,-1,,
2017628,12:30:48,20,26.25,,30,26,,40,27,,
2017628,12:30:53,20,26.25,,30,26,,40,27,,
2017628,12:30:58,20,26.25,,30,26.25,,40,27,,
2017628,12:31:8,20,-1,,30,-1,,40,-1,,
2017628,12:31:13,20,26.5,,30,26,,40,27,,
2017628,12:31:21,20,26.5,,30,26,,40,26.75,,
2017628,12:31:29,20,0,,30,0,,40,0,,
2017628,12:31:34,20,26.25,,30,25.5,,40,26.5,,
2017628,12:31:39,20,26.25,,30,25.5,,40,26.5,,
2017628,12:31:47,20,26.25,,30,25.75,,40,26.5,,
2017628,12:31:52,20,26.5,,30,26,,40,26.75,,
2017628,12:32:0,20,26.5,,30,26,,40,26.75,,
2017628,12:32:11,20,-1,,30,-1,,40,-1,,
2017628,12:32:16,20,26.75,,30,26,,40,27,,
2017628,12:32:21,20,26.75,,30,26,,40,27,,
2017628,12:32:29,20,26.75,,30,26.25,,40,26.75,,
2017628,12:32:37,20,26.5,,30,26.25,,40,26.75,,
2017628,12:32:42,20,26.5,,30,26.25,,40,26.75,,
2017628,12:32:47,20,26.5,,30,26.25,,40,26.75,,
2017628,12:32:52,20,26.5,,30,26,,40,26.5,,
2017628,12:32:57,20,26.5,,30,26,,40,26.5,,
2017628,12:33:5,20,26.5,,30,26.25,,40,26.75,,
2017628,12:33:10,20,26.5,,30,26.25,,40,26.75,,
2017628,12:33:15,20,26.5,,30,25.75,,40,26.75,,
2017628,12:33:20,20,26.5,,30,25.75,,40,26.75,,
2017628,12:33:25,20,26.5,,30,26.25,,40,27,,
2017628,12:33:30,20,26.5,,30,26.25,,40,27,,
2017628,12:33:35,20,26.5,,30,26.25,,40,26.75,,
2017628,12:33:40,20,26.5,,30,26.25,,40,26.75,,
2017628,12:33:45,20,27,,30,26.25,,40,26.75,,
2017628,12:33:50,20,27,,30,26.25,,40,26.75,,
2017628,12:33:55,20,26.5,,30,26.5,,40,26.75,,
2017628,12:34:0,20,26.5,,30,26.5,,40,26.75,,
2017628,12:34:5,20,26.5,,30,26,,40,27,,
2017628,12:34:10,20,26.5,,30,26,,40,27,,
2017628,12:34:20,20,-1,,30,-1,,40,-1,,
2017628,12:34:25,20,26.5,,30,26,,40,26.75,,
2017628,12:34:33,20,26.5,,30,26,,40,26.75,,
2017628,12:34:43,20,-1,,30,-1,,40,-1,,
2017628,12:34:48,20,26.5,,30,26,,40,27,,
2017628,12:34:56,20,26.5,,30,26,,40,26.75,,
2017628,12:35:4,20,26.5,,30,26.25,,40,26.75,,
2017628,12:35:12,20,26.25,,30,26,,40,27,,
2017628,12:35:17,20,26.25,,30,26,,40,27,,
2017628,12:35:22,20,26.5,,30,25.75,,40,26.75,,
2017628,12:35:27,20,26.5,,30,25.75,,40,26.75,,
2017628,12:35:32,20,26.5,,30,26.25,,40,26.75,,
